;linha_identificada;distancia_identificada;linha_faltosa;distancia real;tipo_de_falta;r_f;erro
130;l2;1050,0488516207258;l2;1050,036;.1.0;r_0_00001;2,2352812380151778e-05
131;l2;1050,0330533139029;l2;1050,036;.2.0;r_0_00001;-5,125168480990763e-06
132;l2;1050,0342041090785;l2;1050,036;.3.0;r_0_00001;-3,1235914661653834e-06
133;l2;1050,023917941023;l2;1050,036;.1.2;r_0_00001;-2,1014314322128678e-05
134;l2;1050,0296207957665;l2;1050,036;.2.3;r_0_00001;-1,109534419120981e-05
135;l2;1050,038973822697;l2;1050,036;.1.3;r_0_00001;5,1723671446094504e-06
136;l2;1050,0302279714226;l2;1050,036;.1.2.0;r_0_00001;-1,0039284118124942e-05
137;l2;1050,029806733877;l2;1050,036;.2.3.0;r_0_00001;-1,0771942202762541e-05
138;l2;1050,0341436659671;l2;1050,036;.1.3.0;r_0_00001;-3,2287201154263273e-06
139;l2;1050,0303330850547;l2;1050,036;.1.2.3.0;r_0_00001;-9,856460072237245e-06
140;l2;1102,7823805949906;l2;1102,7664000000002;.1.0;r_0_00001;2,779503450704007e-05
141;l2;1102,7611591940297;l2;1102,7664000000002;.2.0;r_0_00001;-9,11532911524741e-06
142;l2;1102,7628028306578;l2;1102,7664000000002;.3.0;r_0_00001;-6,256553404824458e-06
143;l2;1102,750478248815;l2;1102,7664000000002;.1.2;r_0_00001;-2,7692687529594683e-05
144;l2;1102,757159707592;l2;1102,7664000000002;.2.3;r_0_00001;-1,607163228227892e-05
145;l2;1102,76978619411;l2;1102,7664000000002;.1.3;r_0_00001;5,88960437260419e-06
146;l2;1102,7584278324782;l2;1102,7664000000002;.1.2.0;r_0_00001;-1,3865983807376478e-05
147;l2;1102,7576833311475;l2;1102,7664000000002;.2.3.0;r_0_00001;-1,5160894302871809e-05
148;l2;1102,7639526922728;l2;1102,7664000000002;.1.3.0;r_0_00001;-4,256600131135615e-06
149;l2;1102,7585694696409;l2;1102,7664000000002;.1.2.3.0;r_0_00001;-1,3619634417665354e-05
150;l2;1155,5160848837927;l2;1155,4968;.1.0;r_0_00001;3,354218105186478e-05
151;l2;1155,4886761946848;l2;1155,4968;.2.0;r_0_00001;-1,4129727284698526e-05
152;l2;1155,490912665423;l2;1155,4968;.3.0;r_0_00001;-1,0239835739518913e-05
153;l2;1155,4764862087004;l2;1155,4968;.1.2;r_0_00001;-3,5331758953679035e-05
154;l2;1155,484097311575;l2;1155,4968;.2.3;r_0_00001;-2,209377456316756e-05
155;l2;1155,500503013316;l2;1155,4968;.1.3;r_0_00001;6,440647733071925e-06
156;l2;1155,486238664564;l2;1155,4968;.1.2.0;r_0_00001;-1,836932123330017e-05
157;l2;1155,4851079324012;l2;1155,4968;.2.3.0;r_0_00001;-2,0336002668167567e-05
158;l2;1155,4936675019749;l2;1155,4968;.1.3.0;r_0_00001;-5,448351000132967e-06
159;l2;1155,486422888525;l2;1155,4968;.1.2.3.0;r_0_00001;-1,8048900663447795e-05
160;l2;1208,2499642397563;l2;1208,2272000000005;.1.0;r_0_00001;3,9593821751854855e-05
161;l2;1208,2156038303203;l2;1208,2272000000005;.2.0;r_0_00001;-2,0169207504645197e-05
162;l2;1208,2185334316923;l2;1208,2272000000005;.3.0;r_0_00001;-1,50737544708195e-05
163;l2;1208,2019340023007;l2;1208,2272000000005;.1.2;r_0_00001;-4,394512709573717e-05
164;l2;1208,2104191493715;l2;1208,2272000000005;.2.3;r_0_00001;-2,9186918420032386e-05
165;l2;1208,2311175670875;l2;1208,2272000000005;.1.3;r_0_00001;6,813820914182674e-06
166;l2;1208,2136594117806;l2;1208,2272000000005;.1.2.0;r_0_00001;-2,355113292367154e-05
167;l2;1208,212079969966;l2;1208,2272000000005;.2.3.0;r_0_00001;-2,629825465247788e-05
168;l2;1208,2232875527004;l2;1208,2272000000005;.1.3.0;r_0_00001;-6,804916073393679e-06
169;l2;1208,2138923321943;l2;1208,2272000000005;.1.2.3.0;r_0_00001;-2,3146014657356195e-05
170;l2;1260,9840184151672;l2;1260,9576000000002;.1.0;r_0_00001;4,594952576091972e-05
171;l2;1260,9419416150613;l2;1260,9576000000002;.2.0;r_0_00001;-2,7234614853934446e-05
172;l2;1260,9456649473505;l2;1260,9576000000002;.3.0;r_0_00001;-2,0758626349109656e-05
173;l2;1260,926816037144;l2;1260,9576000000002;.1.2;r_0_00001;-5,35425189341423e-05
174;l2;1260,9361138618674;l2;1260,9576000000002;.2.3;r_0_00001;-3,737082074739359e-05
175;l2;1260,96162401932;l2;1260,9576000000002;.1.3;r_0_00001;6,9989731870103114e-06
176;l2;1260,9406890186583;l2;1260,9576000000002;.1.2.0;r_0_00001;-2,9413254652103245e-05
177;l2;1260,938598875699;l2;1260,9576000000002;.2.3.0;r_0_00001;-3,3048638423114314e-05
178;l2;1260,9528123018977;l2;1260,9576000000002;.1.3.0;r_0_00001;-8,327239007591996e-06
179;l2;1260,9409767916077;l2;1260,9576000000002;.1.2.3.0;r_0_00001;-2,8912731419837203e-05
